,taxi_id,traj_id,path,length
71,519,68,"[286003244, 286003244, 286003244, 286003244, 286003244, 513676819, 397146704, 1046480747, 1046480748, 224316514, 224316514]",11
72,164,1784,"[88559691, 88559691, 88559691, 633791725, 633791725, 633791725, 88572948, 88572948, 88572948, 706532925, 706532925, 417400734, 417400734, 706532923, 706532923, 397144265, 397144265, 1111450276]",18
73,330,1404,"[48101184, 8921980, 48101169, 48191415, 839813773]",5
74,287,1217,"[620169771, 620169771, 620169771]",3
75,149,88,"[706543478, 706543478, 406946353, 766116626, 766116626, 133733590]",6
76,265,1112,"[225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 397101373, 482492972]",16
77,420,313,"[399142440, 399142440, 399142440, 26938418, 26938418, 26938418, 26938418, 26938418, 770522136, 770522136, 254758121, 254758121, 770522074, 770522074, 770522074, 770522074, 770522074, 770522074]",18
78,380,617,"[84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235]",12
79,253,801,"[585655708, 585655708, 585655708, 585655708, 585655708, 585655708, 619378868, 619378868, 1111278015, 1111278015, 527829964, 527829964, 502795545, 502795545, 502795545, 513977502, 513977502, 513977502, 513977501, 513977501]",20
80,194,939,"[124019870, 124019871, 217582796, 678254399, 821431419, 821431420]",6
81,265,873,"[415591478, 415591478, 148874364, 148874364, 148874364, 148874364, 148874364, 148874364, 148874364]",9
82,299,138,"[1111695244, 1111695244]",2
83,162,752,"[417396772, 1059508735, 935446479, 935446479, 935446479, 620169772, 417396768, 417396768, 417396768, 417396768, 254299142, 254299142, 254299142]",13
84,455,596,"[285975137, 285975137, 285975137, 285975137, 285975137, 285975137]",6
85,347,1068,"[99278924, 8919135, 8919135, 8919135, 681022646, 8922823, 8922823, 8922823, 8922823, 8922823, 8922823, 591570706, 591570707, 591570708, 8917382]",15
86,510,869,"[27050852, 527857393, 527857393, 527857393, 527857393, 527857392, 527857392, 527857392, 527857390]",9
87,465,840,"[934187385, 934187385, 1019936705, 681971883, 228352012, 514598268, 27147677, 27147677]",8
88,241,1472,"[514524723, 514524723, 619535706, 619535706, 619535706]",5
89,100,2363,"[88572914, 88572941, 88572941, 88572941, 88572941, 88572932, 88572932, 88572932, 88572932, 1096926712, 51392400, 771701157, 51392402, 51392402, 111560680, 111560680, 86334994, 86334994, 86334994]",19
90,523,346,"[1136702061, 1136702061, 254759933, 254759933, 254759933, 254759933, 1083936405, 530033991, 530033991]",9
91,536,281,"[254453308, 397105094, 397105094, 1052659298, 1052659297, 417087343, 84733260, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235, 84654235]",16
92,299,331,"[686246698, 502795939, 502795939, 502795939, 717319387, 717319387, 771449106, 717319386, 717320099, 717320099, 27398071, 27398071, 27398071, 27398071, 619378869, 619378869, 619378869, 254306573]",18
93,199,608,"[285979101, 514479287, 772926389, 254750814, 254750814, 254750814, 514442926, 514442925, 286674602, 286674602, 286674602, 970578552, 514449210, 286674807, 286674807, 417389545, 417389545]",17
94,381,635,"[287958606, 287958607, 287958607, 287958607, 1112996372, 513676823, 706543479, 513676825, 772536172, 779123575, 779123575, 706543478, 706543478, 406946353, 766116626]",15
95,118,855,"[396025920, 396025928, 396025919, 396025926, 1032774592, 22560841, 396025916, 396025917, 232955764, 22561689]",10
96,21,813,"[417351224, 417351224, 417351233, 8919727, 8921613, 8916372, 286489241, 27613594, 27613593, 571897730, 286492456, 286493661, 286493661]",13
97,173,661,"[255330038, 255330038, 397097610, 255330056, 255330056, 506711641, 506711641, 397108536]",8
98,234,247,"[417389562, 254759959, 254759959, 254759959, 417389549]",5
99,50,6,"[112470382, 112470382, 112470382, 112470382, 112470382, 112470382, 415491128, 415491128, 415491128, 415491128, 415491128, 133735879, 513726809, 513726809]",14
100,171,1031,"[502795940, 502795940]",2
101,73,368,"[29023785, 29023785, 397146713, 397146713, 28841117, 28841117, 1030276071, 417400763, 417400763, 290080810]",10
102,62,765,"[86331269, 86331269, 86331269, 254453305, 396947815, 396947817, 396947820, 396947821, 158804446, 396947818, 158804433, 396948935, 396948936, 158804445, 396950823, 396950804, 681479545, 158804430]",18
103,276,93,"[225806038, 225806038, 225806038, 225806038, 225806038, 225806038]",6
104,499,721,"[148902181, 27043603, 717375292, 717618720, 717618720, 717618720]",6
105,423,365,"[28319343, 28319343, 28319343, 24245406, 224199018, 224199018, 224199018, 254756520, 254756520, 254756520, 8916375, 8916375, 8916375, 224199013, 224199013, 512984875, 512984875]",17
106,455,380,"[514577069, 514577069, 225516712, 225516712]",4
107,320,611,"[929710154, 709823676, 305729174, 217582797, 217582797, 513704142, 513704144, 513704144, 671189604, 30593519, 124019872, 124019859, 124019875, 124019873]",14
108,77,827,"[469387976, 469387975, 469387974, 897211598, 681479544, 596914982, 681479540, 417353044, 417353044, 224373754, 417353053, 515583838, 254299130]",13
109,409,625,"[225806056, 777343790, 777343790, 225806055, 934194966, 934194966, 934194966, 283534317, 283534317, 283534317, 1053833922, 397145820, 397145820, 397145821]",14
110,489,1211,"[8916581, 254750818, 254750818, 254750818, 970291491]",5
111,174,666,"[254984059, 254984059, 498532512, 254984058, 254984058, 254984058, 85562602]",7
112,293,224,"[27147677, 27147677, 1024459039, 788670582, 418527416, 418527416, 1074628856, 1159780149]",8
113,441,878,"[1021548265, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 706551787, 706551787, 505747780, 505747780, 505747780, 706551789, 779335993]",18
114,502,1896,"[254759933, 254759933, 254759933, 1083936405]",4
115,508,367,"[713758735, 713758735, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 713758728, 720010209, 720010208, 720011527, 85644929, 85644929]",19
116,248,246,"[225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 225806033, 397101373, 482492972]",15
117,56,1520,"[718500671, 718500671, 718500670, 718501470, 718500672]",5
118,257,1736,"[1120695892, 1120695892]",2
119,298,1615,"[718498463, 718498464, 718498464, 85562546, 85562546, 85562546, 85562546, 417103313, 85562575, 85562608, 85562608, 85562608, 85562498, 85562498]",14
120,340,1529,"[88559680, 88559680, 88559680, 88559680, 88559680, 1122010074, 1122010074, 1122010074, 417396753, 417396753, 397094803, 88559661]",12
121,161,215,"[8916375, 8916375, 619378866, 619378866, 737711010]",5
122,198,456,"[255178093, 417384964, 417384964, 417384957, 417384957, 32928980, 32928980, 469952152, 469952152, 469952153, 469952153, 930170937, 930170937, 930170937, 930170937, 930170937, 930170937]",17
123,347,1338,"[406580282, 406580282, 397146714, 397146714, 397146709, 397146710, 397146715, 397146715, 397146715, 397146715]",10
124,385,1018,"[87559115, 87559115, 87559115, 397079280]",4
125,128,390,"[437559493, 89802414, 89802414, 89802414, 225806050, 225806050]",6
126,342,1036,"[417947135, 417947134, 417101713, 417101713, 111586257, 111586257, 28841123, 28841123, 1111952306, 224316520, 224316520, 406944778, 254297759, 254297759, 1111706290, 397269729, 408575054, 397269730, 397269730]",19
127,52,138,"[396959340, 396959340, 396959351, 396959351, 86331233, 1101523479, 86331242, 86331242, 515613094, 396959338, 254297756, 158804429, 396950802, 158804440, 396950801, 396950812, 396950800]",17
128,347,573,"[224316520, 406944778]",2
129,387,275,"[934194966, 934194966, 934194966, 283534317, 283534317, 283534317, 1053833922, 397145820, 397145820, 397145821, 397145821, 397145821, 934261704, 934261704, 397145254, 397145254, 255168047]",17
130,309,648,"[26943711, 254299376, 8917337, 1027285198, 1027285198, 706548258, 1113001505]",7
131,493,119,"[502795948, 446233233, 446233234, 446233234, 446233234, 686250338, 686250338, 502795944, 502795944, 502795944, 527829944, 527829944, 527829944, 1128354343, 225806031, 225806031, 502795948]",17
